tid,vid,name,description,weight,format
605,14,אברהם יצחק קאשטילו ואליעזר סעדון,,0,
599,14,אברהם פרופס ובנו,,0,
671,14,איצק ויעקב,,0,
763,14,אלכסנדר בן יהודה ובנו יהודה,,0,
632,14,אלכסנדר בר יהודה ליב,,0,
787,14,אלמנת י פרופס,,0,
611,14,גירארד יוהאן יאנסון בבית הבחור ישראל מונדווי,,0,
753,14,גרשון,,0,
732,14,"דוד בן יקעב פרופס כ""ץ",,0,
766,14,דוד בר מרדכי הלוי,,0,
754,14,דוד וחיים דוד,,0,
511,14,האחים שמואל ויהודה בון,,0,
637,14,היינריך הייברוך האכפירסטל האפ אונד העזירונגס?=בוכדרוקער,,0,
728,14,"המחוקקים יודא ואחיו כ' ליפמן בני משה כ""ק",,0,
722,14,זאב וואלף בן גרשון הלוי,,0,
746,14,"זלמן ק""ב מברעסלוא",,0,
743,14,חיים בן הירש,,0,
721,14,חיים דוד בן אהרן הלוי,,0,
767,14,י'  קעלנר,,0,
782,14,י' פרופס,,0,
552,14,יאהאן טילעיאהאן טילע,,0,
762,14,יאן יאנסון,,0,
659,14,יוסף מאי,,0,
760,14,יוסף פעטשויא ובנו מענדל בער,,0,
609,14,יעקב ואברהם בני שלמה פרופס,,0,
625,14,"יעקב פרופס כ""ץ",,0,
705,14,ליב זוסמנש,,0,
666,14,ליסאק,,0,
790,14,מינהולד,,0,
752,14,מנחם מן,,0,
756,14,מרדכי רבין שטיין,,0,
709,14,משה בון,,0,
670,14,משה שי',,0,
739,14,פון קורצברג,,0,
652,14,"צבי הירש בן אריה ליב ושמואל בן ישכר בער סג""ל",,0,
735,14,קארל יאקוולאויטש,,0,
458,14,קעניגליכן בוכדרוקערייא,,0,
668,14,שליטר,,0,
684,14,שלמה אלימלך ואברהם,,0,
710,14,שמואל פלקלש - בן ליזר,,0,
755,14,ששה המשותפים,,0,
